owner,address,price,price_m2,bathrooms,size_construction,size,rooms,description,floor,exterior,preservation,reference,furniture,last_updated
Inmuebles de  Engel & Völkers Barcelona,La Barceloneta (Distrito Ciutat Vella. Barcelona Capital),1.900 €, 42  €/m², 1 baño,: 45 m² ,, 2 habs.,"
            El piso está ubicado en el Centro de Barcelona en el barrio de la Barceloneta de Ciutat Vella. Tiene 2 dormitorios y está totalmente amueblado y equipado con todo lo necesario.", Bajo,,: En buen estado,: IF76306-I-00KN57-W-02SO8T,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  SmartMove,El Camp de l'Arpa del Clot (Distrito Sant Martí. Barcelona Capital),2.600 €, 26  €/m², 2 baños,: 100 m² ,: 100 m² , 3 habs.,"
            Sensacional piso de 100m2 con 3 habitaciones dobles y TERRAZA de 30 m2 en el barrio de Sagrada Família! Está totalmente reformado, y viene 100% amueblado y equipado. Tiene 3 habitaciones dobles con armarios empotrados y 2 baños de diseño con ducha y mampara de cristal. El salón comedor tiene salida a la bonita TERRAZA. La cocina es abierta y está totalmente equipada con nevera, horno, microondas y vitrocerámica. También cuenta con galería y lavadora. El piso está reformado y en perfecto estado, con equipamiento de primera calidad. El suelo es de parquet combinado con suelo imitación hidráulico en baños y cocina. Y unas decorativas paredes de ladrillo visto en salón y terraza. Cuenta con climatización frío/calor por zonas. Está en el bajos de una finca con ascensor, ubicada en una zona residencial tranquila muy cerca de la Sagrada Família y Glòries. Tiene todo tipo de comercios y servicios alrededor, y está muy bien comunicado por metro (Sagrada Família L5, Encants L2), autobús, bicing… El precio del alquiler INCLUYE: internet wifi, TV internacional y servicio de limpieza mensual. Los suministros son 150€/mes adicionales. El contrato es de mínimo 6 meses y máximo 11 meses renovables y se pide una fianza de 2 meses.
        ", Bajo,Exterior,: En buen estado,: 4513606-WHITE SWAN B-2 1,NA,"
                Actualizado el 12/11/2023
            "
Inmuebles de  INES BARTRINA ROSSELL,Sant Gervasi-La Bonanova (Distrito Sarrià-Sant Gervasi. Barcelona Capital),1.850 €, 25  €/m², 2 baños,: 73 m² ,: 65 m² , 1 hab,"
            Nos encontramos en un Atico con muchisima luz y sol. Tiene dos amplias terrazas. Entras en un recibidor con un armario empotrado y te lleva a un salón con una gran terraza orientada", 7ª,Exterior,: En buen estado,: SA2748-MUNTANER ATICO,NA,"
                Actualizado el 30/10/2023
            "
Inmuebles de  SEPROIN,Centre (Terrassa),700 €, 17  €/m², 1 baño,: 39 m² ,: 39 m² , 1 hab,"
            Precioso piso de una habitación en el centro. Cocina americana, baño con ducha. Parquet. Doble cristal. Muy soleado. Aire acondicionado.  Muy tranquilo. Terraza con vistas a la torre del palau.", 1ª,,: A estrenar,: 1429-099753,NA,"
                Actualizado el 10/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Barceloneta (Distrito Ciutat Vella. Barcelona Capital),2.300 €, 30  €/m², 2 baños,: 75 m² ,, 2 habs.,"
            Acogedor piso TEMPORAL en alquiler muy cerca de mar en el barrio de la Barceloneta. El", Bajo,,: En buen estado,: IF76306-I-00KMW0-W-02SLQO,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  GERMA JULI,Gorg-Progrés-Pep Ventura (Badalona),1.600 €, 13  €/m², 1 baño,: 120 m² ,: 120 m² , 4 habs.,"
            GERMÀ JULI. - REF 0947", 1ª,Exterior,: En buen estado,: 994242-0947,Amueblado,"
                Actualizado el 14/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Sagrada Família (Distrito Eixample. Barcelona Capital),1.500 €, 18  €/m², 1 baño,: 80 m² ,, 3 habs.,"
            Apartamento de tres dormitorios con vistas a la Sagrada Familia. Totalmente equipado y amueblado listo para entrar a vivir. El piso tiene tres dormitorios, un dormitorio doble exterior, un dormitorio doble interior y una tercera habitación con litera.. La cocina queda totalmente equipada con todos los electrdomésticos necesitarios. El apartamento está listo para entrar a vivir con maleta. La vivienda dispone de ascensor y de aire acondicionado de frío y calor y tiene internet. ", Bajo,,,: IF76306-I-00KQO4-W-02TDZN,NA,"
                Actualizado el 08/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Antoni (Distrito Eixample. Barcelona Capital),5.700 €, 49  €/m², 2 baños,: 115 m² ,, 3 habs.,"
            Contrato temporales desde 32 dias hasta 11 meses.", Bajo,,: En buen estado,: IF76306-I-00KGYW-W-02R8Q8,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital),9.500 €, 35  €/m², 4 baños,: 264 m² ,, 5 habs.,"
            La propiedad está perfectamente ubicada en pleno Paseo de Gracia, se puede llegar a las cuatro esquinas de Barcelona gracias al metro o autobús que se encuentran a tan solo unos minutos a pie.", Bajo,,: En buen estado,: IF76306-I-00KJ4O-W-02RRYC,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  NIU CAPITAL,Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),7.000 €, 24  €/m², 2 baños,: 290 m² ,: 290 m² , 2 habs.,"
            Fantástico loft totalmente amueblado, muy bien ubicado en el centro de Barcelona, a unos pasos del Palau de la Musica, Vía Laietana, Plaza Catalunya. Dispone de 290mts2 que se distribuyen en un amplio salón comedor de diseño con moderna cocina abierta al salón comedor equipada con electrodomésticos de alta gama, una segunda sala con una zona de estudio. En la zona de noche cuenta con dos masters suites, una con sala de estar y las dos con baños y armarios empotrados. El piso cuenta con salida a una soleada terraza. Piso con aire acondicionado y calefacción. Dispone de techos muy altos manteniendo la bóveda catalana, vigas de hierro y paredes de obra vista.
        ", 4ª,Exterior,: Reformado,: 4511571-2271,Amueblado,"
                Actualizado el 14/06/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),3.407 €, 44  €/m², 1 baño,: 77 m² ,, 2 habs.,"
            El piso te ofrece la oportunidad de hospedarte en una ubicación increíble, rodeado de muebles de diseño y techos altos. Cada apartamento tiene un dormitorio y un baño, luz natural, una cocina totalmente equipada y una amplia sala de estar. El edificio tiene una terraza en la azotea, perfecta para relajarse y disfrutar de las vistas del magnífico horizonte de Barcelona, así como una magnífica vista del mar", Bajo,,: En buen estado,: IF76306-I-00KI3R-W-02RIF6,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  WALTER HAUS,El Putxet-El Farró (Distrito Sarrià-Sant Gervasi. Barcelona Capital),2.000 €, 21  €/m², 1 baño,: 95 m² ,, 2 habs.,"
            DISPONIBLE 1 DE FEBRERO- ALQUILER DE TEMPORADA- AMUEBLADO Y EQUIPADO", Bajo,,,: IF7349-4484,Amueblado,"
                Actualizado el 06/11/2023
            "
Inmuebles de  L@M FINQUES,Navarcles,700 €, 7  €/m², 1 baño,: 94 m² ,: 74 m² , 3 habs.,"
            Duplex de nueva construcción en alquiler en el pueblo de Navarcles, preparados para entrar, el piso consta de comedor cocina abierto, dos habitaciones doble y una individual. También encontraremos un baño completo y una terraza de 18.05m2.Opcional una plaza de parking.
        ", 2ª,Exterior,: A estrenar,: 501283-009360,NA,"
                Actualizado el 13/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital),7.500 €, 28  €/m², 5 baños,: 265 m² ,, 5 habs.,"
            Apartamento de 256 m² totalmente reformado con terraza, 5 dormitorios y 5 cuartos de baño en suite. Se sitúa en un edificio de 1936 con ascensor y muchos elementos de época, ubicado al lado de Les Rambles y del barrio Gòtic.", Bajo,,: En buen estado,: IF76306-I-00KOFS-W-02SXJU,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Nova Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),2.250 €,, 2 baños,: 115 m² ,, 4 habs.,"
            Increíble piso de 115 m2 sin amueblar situado en el Eixample. Situado en una finca de reciente construcción, las calidades y acabados del piso son de mucha calidad. El piso cuenta con 4 habitaciones: dos dobles, la principal con baño en suite, y otras dos individuales con armarios (caben camas). La cocina es amplia, con muchos armarios y sin electrodomésticos y con zona de comer. El salón es muy espacioso (25 m2) con salida a una agradable terraza de 10 m2 aprox. El piso cuenta con dos baños completos. Aire acondicionado y calefacción por conductos. Cerramiento aislante de aluminio. Suelos de parquet. Muy luminoso y tranquilo.", Bajo,,: En buen estado,: IF76306-I-00KRAT-W-02TK24,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,El Camp de l'Arpa del Clot (Distrito Sant Martí. Barcelona Capital),2.300 €, 24  €/m², 1 baño,: 95 m² ,, 3 habs.,"
            Magnífica vivienda en finca regia rehabilitada. Amueblado, nuevo, con balcones y muy luminoso.", Bajo,,,: IF76306-I-00KLBL-W-02S9DS,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital),2.900 €, 41  €/m², 2 baños,: 70 m² ,, 3 habs.,"
            Precioso piso, reformado a estrenar, que consta de 3 habitaciones, 2 baños, salón/comedor y cocina totalmente equipada. El salón tiene acceso a una espectacular terraza privativa.", Bajo,,: En buen estado,: IF76306-I-00KRCN-W-02TKJ2,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Vila de Gràcia (Distrito Gràcia. Barcelona Capital),2.500 €, 46  €/m², 1 baño,: 54 m² ,, 1 hab,"
            Vivienda TEMPORAL amueblada y equipada con todo detalle, lista para entrar a vivir.", Bajo,,: En buen estado,: IF76306-I-00KL1A-W-02S7IC,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  PARTICULAR Immobiliària Financera,Vilanova del Vallès,800 €, 11  €/m², 1 baño,: 69 m² ,: 62 m² , 2 habs.,"
            PISO de ALQUILER en VILANOVA DEL VALLÈS – Zona Centre (Vallès Oriental):", 1ª,Exterior,: En buen estado,: 501175-001601,NA,"
                Actualizado el 09/11/2023
            "
Inmuebles de  My Space Barcelona,El Fort Pienc (Distrito Eixample. Barcelona Capital),1.500 €, 25  €/m², 1 baño,: 60 m² ,: 60 m² , 1 hab,"
            Este acogedor estudio cerca del Arco del Triunfo con piscina compartida y terrazase encuentra en el del Eixample Dret y es una alternativa ideal para parejas que buscan una estancia temporal en Barcelona", 1ª,,: En buen estado,: 4516049-RF.L,Amueblado,"
                Actualizado el 15/03/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),2.245 €, 44  €/m², 1 baño,: 50 m² ,, 1 hab,"
            Apartamento temporal situado en Sant Gervasi muy cerca del Mercado de Galvany, una de las zonas más exclusivas de Barcelona. Apartamento completamente equipado para garantizar una cómoda estancia. El apartamento cuenta con servicios incluidos: Wifi, 2 limpiezas mantenimiento al mes, suministros hasta 120€/mes, gastos de gestión ITP. Los pisos tienen Aire acondicionado y están totalmente equipado y listo para entrar a vivir. El edificio cuenta con ascensor. Los pisos tiene una ubicación excepcional a tan sólo 1 minuto andando de la parada de ferrocarriles de Muntaner.", Bajo,,: En buen estado,: IF76306-I-00KQFJ-W-02SOEC,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital),1.150 €, 22  €/m², 1 baño,: 52 m² ,, 1 hab,"
            Acogedor piso reformado, amueblado y equipado con lavadora y nevera. concepto de cocina abierta.", Bajo,,: En buen estado,: IF76306-I-00KS6X-W-02TT1V,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,El Raval (Distrito Ciutat Vella. Barcelona Capital),2.910 €, 36  €/m², 2 baños,: 80 m² ,, 2 habs.,"
            El apartamento, cuenta con dos habitaciones, uno con cama doble y el otro con cama sencilla y dos baños completos, ideal para parejas con un solo hijo. Este hermoso apartamento está dotado de todo lo necesario para vivir. Su decoración de diseñador atemporal hace que sea un lugar elegante y acogedor, ideal para ser tu próximo hogar. ", Bajo,,,: IF76306-I-00KREC-W-02TKDY,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Nova Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),4.000 €, 22  €/m², 3 baños,: 180 m² ,, 4 habs.,"
            Engel & Völkers presenta este fantástico piso en la Nova Esquerra del Eixample a lado del Hospital Clinic. La propiedad consta de 188m2 construido según catastro y está reformado para entrar a vivir, entrando en la propiedad encontramos a lado derecho la cocina que se puede separar con una puerta corredera, es muy amplia donde hay también una mesa para 4 personas y está toda equipada con electrodomésticos de alta gama. Seguimos y encontramos el salón-comedor de 40m2 muy luminoso exterior con salida al balcón y con vistas a un parque infantil, también en este lado del piso hay una habitación de invitados que de momento es un despacho. En la otra parte del piso encontramos las 3 habitaciones dobles con salida a dos balcones y con 3 baños completos, el piso tiene también un lavadero.", Bajo,,: En buen estado,: IF76306-I-00KS6F-W-02TEG2,Amueblado,"
                Actualizado el 07/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Lluminetes (Castelldefels),1.800 €, 16  €/m², 2 baños,: 112 m² ,, 3 habs.,"
            El piso está ubicado en PRIMERA LINEA DEL MAR con acceso directo a la playa.  Tiene 3 habitaciones con armarios empotrados, dos de las cuales son dobles y la tercera es sencilla con una litera. El apartamento tiene dos baños completos. Desde el área de sala y comedor, así como de la habitación principal se accede a una terraza de 20m2. La cocina está completamente equipada con lavavajillas y lavadora de ropa.", Bajo,,: En buen estado,: IF76306-I-00KR5N-W-02TJ4U,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Nova Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),1.300 €, 15  €/m², 1 baño,: 86 m² ,, 2 habs.,"
            Este maravilloso piso de 86m2 amueblado se caracteriza por su amplitud y luminosidad gracias a sus altos techos. ", Bajo,,,: IF76306-I-00KSDN-W-02TUF4,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  AELITE STREET,El Fort Pienc (Distrito Eixample. Barcelona Capital),15.000 €, 50  €/m², 2 baños,: 300 m² ,: 300 m² , 2 habs.,"
            Designer-furnished loft to rent in one of the most famous and beautiful buildings of Barcelona, right in the heart of the city, in Eixample Right. The premises benefit from lots of high-end features such as a 24h concierge and butler service, an indoor and an outdoor rooftop swimming pool, a common leisure area, gym, and spa. Having a separate entrance from the street side favors the intimacy of the apartment and contributes to its uniqueness.  ", Bajo,Exterior,: Reformado,: 519872-001040,Amueblado,"
                Actualizado el 21/02/2023
            "
